GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exam-backend,com.kristiania.exam.backend.util,PasswordConfig,0,7,0,0,0,2,0,2,0,2
exam-backend,com.kristiania.exam.backend.service,CopyService,14,146,4,4,4,29,4,6,0,6
exam-backend,com.kristiania.exam.backend.service,DefaultDataInitializerService,3,240,0,0,2,48,0,16,0,16
exam-backend,com.kristiania.exam.backend.service,UserService,42,83,5,3,8,20,5,4,1,4
exam-backend,com.kristiania.exam.backend.service,ItemService,5,118,2,4,1,30,2,9,0,8
exam-backend,com.kristiania.exam.backend.entity,Copy,26,41,0,0,9,16,8,9,8,9
exam-backend,com.kristiania.exam.backend.entity,Users,23,53,0,0,8,23,7,14,7,14
exam-backend,com.kristiania.exam.backend.entity,Item,13,30,0,0,5,11,3,8,3,8
